NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
2,DOG'S WORLD,"Michel David , Isabelle Turcotte, Jacques Laberge",1997,1997-02-01,1997-12-31,0,0,Série télévisée,Coproduction,13,8
3,JET,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
4,FABRIQUE D'IMAGES,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
5,CINQ  HISTOIRES,Nader Dolatshahi,1997,1997-01-10,1997-12-31,0,0,Série télévisée,Canadienne,13,6
6,THE HUNGER,Différent à chaque épisode.,1997,1997-01-01,1997-05-01,0,0,Série télévisée,Canadienne,13,6
7,UNIV. DE MTL,François Dompierre,1997,1997-02-26,1997-03-06,0,0,Film étudiant,Canadienne,19,6
8,ÉMISSION J.E.,Serge Catafard,1997,1997-01-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
9,ÉMISSION FLASH-SONIA BENEZRA  R.-GRANDS DUCS,Guy Gagnon,1997,1997-01-08,1997-05-30,0,0,Série télévisée,Canadienne,13,6
10,MUSIQUE  PLUS,,1997,1997-01-01,1997-08-31,0,0,Télévision générale,Canadienne,14,6
11,4 X 4,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
12,URGENCE  II,François Bouvier et Alain Chartrand,1997,1997-01-01,1997-02-15,0,0,Série télévisée,Canadienne,13,6
13,TÉLÉVISION INTERNATIONAL,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
14,LA CHASSE AUX P'TITS GIBIERS,,1997,1997-01-27,1997-02-27,0,0,Film étudiant,Canadienne,19,6
15,PULSE  NEWS,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
16,DÉCOUVERTE,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
17,THE TRANSLATORS,,1997,1997-02-14,1997-02-25,0,0,Film étudiant,Canadienne,19,6
18,VIDÉO CORPO PROBL. ALCOOL,,1997,1997-01-01,1997-12-31,0,0,Vidéo,Canadienne,17,6
19,PRÉV. ACCIDENTS SPORTS,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
20,LES AFFAIRES MONDIALES,Larry Shapiro,1997,1997-01-01,1998-03-20,0,0,Télévision générale,Canadienne,14,6
21,DERNIÈRE VAGUE,,1997,1997-01-27,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
22,SOUS LA COUVERTURE,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
23,PHOTO MODE,,1997,1997-12-01,1997-12-31,0,0,Photographie,Canadienne,18,6
24,SOMBRE  ÉTUDE,,1997,1997-01-06,1997-01-14,0,0,Film étudiant,Canadienne,19,6
25,L'APPEL,,1997,1997-01-10,1997-01-31,0,0,Film étudiant,Canadienne,19,6
26,GUSTI (prise de photos),Gilles Lauzon,1997,1997-01-01,1997-12-31,0,0,Photographie,Canadienne,18,6
27,BON MATIN,Patrice Pouliot,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
28,Betes pas betes plus,,1997,1997-01-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
29,MEETING  PLACE,,1997,1997-01-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
30,SUCRE AMER,Christian Lara,1997,1997-02-03,1997-02-15,0,0,Long métrage,Coproduction,11,8
31,THE RED VIOLIN,François Girard,1997,1997-02-14,1997-03-07,0,0,Long métrage,Canadienne,11,6
32,PHOTO MODE,,1997,1997-01-01,1997-12-31,0,0,Photographie,Canadienne,18,6
33,THE SLEEP ROOM,Anne Wheeler,1997,1997-02-24,1997-05-03,0,0,Série télévisée,Canadienne,13,6
34,LE  NAVIRE  NIGHT,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
35,SESAME  PARK,Danny Croussette,1997,1997-01-29,1997-01-31,0,0,Télévision générale,Canadienne,14,6
36,T.Q.S. (Diverses émissions),,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
37,S.R.C. (Diverses émissions),Divers,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
38,TÉLÉ-MÉTROPOLE (Diverses émissions),,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
39,CONCORDIA UNIVERSITY (dossier général),Divers réalisateurs,1997,1997-02-26,1997-03-03,0,0,Film étudiant,Canadienne,19,6
40,DIVERS FILMS CÉGEPS,Divers réalisateurs,1997,1997-01-01,1997-12-31,0,0,Film étudiant,Canadienne,19,6
41,UNIVERSITÉ DE MTL (Divers dossiers),,1997,1997-01-01,1997-12-31,0,0,Film étudiant,Canadienne,19,6
42,RONALD BRAULT PROD.,Divers,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
43,MONIQUE HUBERDEAU PROD.,,1997,1997-02-06,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
44,S.W.A.T.,,1997,1997-02-07,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
45,L'ÉCUYER,,1997,1997-01-01,1997-04-10,0,0,Télévision générale,Canadienne,14,6
46,OPÉRATION NEZ ROUGE,,1997,1997-02-27,1997-03-04,0,0,Film étudiant,Canadienne,19,6
47,DUOTONE,,1997,1997-02-06,1997-12-31,0,0,Photographie,Canadienne,18,6
48,IL Y A DES HAUTS ...,,1997,1997-02-20,1997-02-26,0,0,Film étudiant,Canadienne,19,6
49,SURPRISE SUR PRISE,Sylvain Roy - Pierre Paiement - Pierre Lord,1997,1997-01-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
50,PIGNON SUR RUE,Eve Lamont,1997,1997-01-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
51,PRENEZ UN NUMÉRO,Gaston Gagnon,1997,1997-01-01,1997-04-30,0,0,Série télévisée,Canadienne,13,6
52,LA FORET' AU COEUR DE NOS VIES,Y. Lafontaine,1997,1997-01-01,1997-10-31,0,0,Télévision générale,Canadienne,14,6
53,DEAD END,Douglas Jackson,1997,1997-03-05,1997-04-03,0,0,Long métrage,Canadienne,11,6
54,LES AILES DE LA MODE,,1997,1997-01-01,1997-09-01,0,0,Télévision générale,Canadienne,14,6
55,PHOTOS COMMERCIALES,Luc Robitaille,1997,1997-01-01,1997-12-31,0,0,Photographie,Canadienne,18,6
56,AFFLICTION,Paul Schrader,1997,1997-02-03,1997-03-21,0,0,Long métrage,Etrangère,11,7
57,TEST GONFLAGE,,1997,1997-01-01,1997-12-31,0,0,Long métrage,Canadienne,11,6
58,LES IIIe PARLEMENTERIES,Pierre Gagnon,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
59,SUPERTEL,,1997,1997-01-01,1997-12-31,0,0,Vidéo,Canadienne,17,6
60,GODBY,,1997,1997-01-01,1997-12-31,0,0,Vidéo,Canadienne,17,6
61,VIVRE EN VILLE,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
62,RUPTURE,Najwa Tlili,1997,1997-03-01,1997-03-20,0,0,Court métrage,Canadienne,16,6
63,LES BOYS,Louis Saia,1997,1997-03-11,1997-04-30,0,0,Long métrage,Canadienne,11,6
64,FILMS  FIGARO,,1997,1997-02-26,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
65,BOUSCOTTE,,1997,1997-02-14,1997-12-31,0,0,Série télévisée,Canadienne,13,6
66,BOULEDOGUE BAZAR,Pierre Mondor et Anne Sénécal,1997,1997-08-05,1998-06-01,0,0,Série télévisée,Canadienne,13,6
67,POLY-PROD.,,1997,1997-02-27,1997-12-31,0,0,Vidéo,Canadienne,17,6
68,LE CAVEAU,,1997,1997-03-13,1997-03-23,0,0,Film étudiant,Canadienne,19,6
69,BIOBULE,,1997,1997-03-17,1997-12-31,0,0,Série télévisée,Canadienne,13,6
70,LE POLOCK,Robert  Ménard,1997,1997-03-24,1997-06-19,0,0,Série télévisée,Canadienne,13,6
71,LA MAGIE DE NOËL,Louis Plamondon,1997,1997-04-10,1997-04-24,0,0,Télévision générale,Canadienne,14,6
72,"MC GILL, MAHLER &  MONTREAL",Robert Chesterman,1997,1997-03-17,1997-04-15,0,0,Long métrage,Canadienne,11,6
73,TORISTA,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
74,IBIS,Divers réalisateurs,1997,1997-03-10,1997-12-31,0,0,Vidéo,Canadienne,17,6
75,PAPARAZZI,Mark Blanford,1997,1997-04-05,1997-09-01,0,0,Série télévisée,Canadienne,13,6
76,DEVINE QUI VIENT RESTER,Jean-Pierre Gariépy,1997,1997-04-01,1997-05-25,0,0,Long métrage,Canadienne,11,6
77,FICTION FILMIQUE (titre de travail),Sébastien Pichette,1997,1997-03-28,1997-04-21,0,0,Film étudiant,Canadienne,19,6
79,INIS,"Hélene Pichette (resp. du cours ""REPORTAGE"")",1997,1997-01-01,1997-12-31,0,0,Film étudiant,Canadienne,19,6
81,LE CUR AU POING,Charles Binamé,1997,1997-03-21,1997-07-30,0,0,Long métrage,Canadienne,11,6
82,KAYLA,Nicholas Kendall,1997,1997-02-26,1997-04-09,0,0,Long métrage,Canadienne,11,6
83,POINT DE MIRE / LE PIÈGE,Louis Choquette,1997,1997-03-20,1997-06-15,0,0,Série télévisée,Canadienne,13,6
84,TOUT ET RIEN,Briit Besson,1997,1997-04-15,1997-04-30,0,0,Vidéo,Canadienne,17,6
85,QUAD,,1997,1997-01-01,1997-03-31,0,0,Message publicitaire,Canadienne,15,6
86,DUO POUR UNE SOLISTE,Mireille Dansereau,1997,1997-04-02,1997-04-10,0,0,Téléfilm,Canadienne,12,6
87,LES MAÎTRES ANCIENS,Olivier Asselin,1997,1997-04-14,1997-04-25,0,0,Téléfilm,Canadienne,12,6
88,GLORY & HONOR,Kevin Hooks,1997,1997-05-15,1997-06-30,0,0,Téléfilm,Etrangère,12,7
90,"""LE JOUR DU SEIGNEUR",Véronique Beaulieu-Mathivet,1997,1997-04-10,1997-04-19,0,0,Télévision générale,Etrangère,14,7
91,"LABEL ""PLATINUM""",,1997,1997-04-12,1997-07-06,0,0,Téléfilm,Coproduction,12,8
94,LASSIE,Divers,1997,1997-03-23,1997-06-16,0,0,Série télévisée,Canadienne,13,6
95,WHEN JUSTICE FAILS,Allan A. Goldstein,1997,1997-05-14,1997-06-07,0,0,Long métrage,Canadienne,11,6
96,DIVERS- CAPSULES PUB. et INFO.,,1997,1997-04-18,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
97,EAGLE  EYE,Ramez El Hajj,1997,1997-04-18,1997-12-31,0,0,Vidéo,Canadienne,17,6
99,OMERTA II,,1997,1997-01-01,1997-08-30,0,0,Série télévisée,Canadienne,13,6
100,VICTOR,Mia Kirshner,1997,1997-05-02,1997-05-09,0,0,Court métrage,Canadienne,16,6
101,KOBÉ,,1997,1997-04-20,1997-04-23,0,0,Vidéo,Canadienne,17,6
102,RESET,,1997,1997-04-19,1997-04-20,0,0,Vidéo,Canadienne,17,6
103,LE VOLCAN TRANQUILLE,Pierrette Villemaire,1997,1997-05-26,1997-07-01,0,0,Série télévisée,Canadienne,13,6
104,EASY STREET,Peter Morneau,1997,1997-04-23,1997-12-31,0,0,Photographie,Canadienne,18,6
106,20ième SIECLE,,1997,1997-04-25,1997-11-03,0,0,Série télévisée,Canadienne,13,6
107,CONVENANCE ET CONNIVENCE,Louise Ducharme,1997,1997-06-27,1997-07-20,0,0,Téléfilm,Canadienne,12,6
108,ELLE QUÉBEC,,1997,1997-04-29,1997-12-31,0,0,Photographie,Canadienne,18,6
109,LA COURTE ÉCHELLE II,,1997,1997-05-07,1997-08-30,0,0,Série télévisée,Canadienne,13,6
111,PRODUCTIONS JOSÉE MARLEAU,,1997,1997-05-05,1997-12-31,0,0,Vidéo,Canadienne,17,6
112,VIDÉOS CORPORATIFS,Divers,1997,1997-05-06,1997-12-31,0,0,Vidéo,Canadienne,17,6
113,DES CRIMES ET DES HOMMES,,1997,1997-05-05,1997-12-31,0,0,Télévision générale,Canadienne,14,6
114,LOCOMOTION,,1997,1997-05-05,1997-12-31,0,0,Vidéo,Canadienne,17,6
115,AN AMERICAN AFFAIR,Sebastian Shah,1997,1997-05-18,1997-06-15,0,0,Long métrage,Canadienne,11,6
117,THE GIRL NEXT DOOR,David Greene,1997,1997-05-21,1997-05-30,0,0,Téléfilm,Coproduction,12,8
119,LA PÈCHE AU SON,Jean-Sébastien Durocher,1997,1997-05-24,1997-06-24,0,0,Court métrage,Canadienne,16,6
121,MONTRÉAL TV TOUR,Claude Parent,1997,1997-05-23,1997-05-23,0,0,Télévision générale,Canadienne,14,6
122,PLATINUM,,1997,1997-05-20,1997-05-22,0,0,Vidéo,Canadienne,17,6
123,TéLéVISION COMMUNAUTAIRE,,1997,1997-06-10,1997-09-15,0,0,Télévision générale,Canadienne,14,6
124,ZARA  FILMS,,1997,1997-05-22,1997-12-31,0,0,Vidéo,Canadienne,17,6
125,LA QUALITÉ DU PLAISIR,Jacques Marcotte,1997,1997-06-16,1997-07-15,0,0,Série télévisée,Canadienne,13,6
126,LA VIE EST BELLE,Nima Mazhari,1997,1997-04-30,1997-07-30,0,0,Court métrage,Canadienne,16,6
128,LE  STUDIO,Brigitte Couture,1997,1997-05-27,1997-12-31,0,0,Série télévisée,Canadienne,13,6
129,SÉANCE DE PHOTOS,,1997,1997-06-03,1997-06-15,0,0,Photographie,Canadienne,18,6
130,PAYSAGE NO. 1,Luc Courchesne,1997,1997-06-16,1997-06-22,0,0,Vidéo,Canadienne,17,6
131,PHOTOGRAPHIE COMMERCIALE,.,1997,1997-06-03,1997-12-31,0,0,Photographie,Canadienne,18,6
132,LA CULTURE DANS TOUS SES ÉTATS,,1997,1997-05-28,1997-08-27,0,0,Court métrage,Canadienne,16,6
133,TOSTITOS,,1997,1997-05-28,1997-05-30,0,0,Message publicitaire,Canadienne,15,6
134,L'OMBRE DE L'ÉPERVIER,Robert Favreau,1997,1997-06-17,1997-10-27,0,0,Série télévisée,Canadienne,13,6
135,THIS IS MY FATHER,Paul Quinn,1997,1997-05-30,1997-07-27,0,0,Long métrage,Coproduction,11,8
136,SCIENCE FRICTION,,1997,1997-05-20,1997-09-30,0,0,Série télévisée,Canadienne,13,6
137,CADILLAC ROSE,,1997,1997-06-02,1997-09-01,0,0,Série télévisée,Canadienne,13,6
138,REVOIR JULIE,Jeanne Crépeau,1997,1997-06-05,1997-06-11,0,0,Long métrage,Canadienne,11,6
139,GABRIELLE ROY/UN DOCUMENTAIRE,,1997,1997-06-09,1997-06-20,0,0,Court métrage,Canadienne,16,6
140,CATALOGUE JACK VICTOR,,1997,1997-06-12,1997-12-31,0,0,Photographie,Canadienne,18,6
141,"THÉRÈSE CASGRAIN, L'ARISTOCRATE AUX BARRICADES",Nicole Messier,1997,1997-06-16,1997-06-30,0,0,Téléfilm,Coproduction,12,8
142,VIOLON MAGIQUE,Raymond St-Jean,1997,1997-06-25,1997-07-15,0,0,Court métrage,Canadienne,16,6
143,THE MINION,Jean-Marc Piché,1997,1997-06-02,1997-07-11,0,0,Long métrage,Canadienne,11,6
144,QUAI |1 (BLUE DREAM),François Bouvier,1997,1997-07-10,1997-08-02,0,0,Téléfilm,Canadienne,12,6
145,RANDOM ENCOUNTER,Douglas Jackson,1997,1997-06-20,1997-09-21,0,0,Long métrage,Canadienne,11,6
146,LOSS OF FAITH,Allan A. Goldstein,1997,1997-07-07,1997-07-31,0,0,Téléfilm,Coproduction,12,8
147,"FÉLIX LECLERC, LE GÉANT QUÉBÉCOIS",,1997,1997-07-02,1997-07-15,0,0,Téléfilm,Canadienne,12,6
148,PHOTOGRAPHIE COMMERCIALES,,1997,1997-06-18,1997-06-24,0,0,Photographie,Canadienne,18,6
149,STUDENT BODIES,"Claude Maher, Don Bonhart",1997,1997-10-10,1998-01-24,0,0,Série télévisée,Canadienne,13,6
150,MAGAZINE SANTÉ,,1997,1997-06-20,1997-06-25,0,0,Photographie,Canadienne,18,6
151,ARCHITECTURE :LA CULTURE DANS TOUS SES ÉTATS,,1997,1997-09-16,1997-09-23,0,0,Série télévisée,Canadienne,13,6
152,MORE TALES OF THE CITY,Pierre Gang,1997,1997-07-15,1997-09-30,0,0,Série télévisée,Canadienne,13,6
153,MTV ROAD RULES,,1997,1997-08-21,1997-08-25,0,0,Série télévisée,Etrangère,13,7
154,DE  PERSEPOLIS  À MONTRÉAL,Nima Mazhari,1997,1997-09-01,1997-12-30,0,0,Long métrage,Canadienne,11,6
155,PHOTOGRAPHIE,,1997,1997-06-19,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
156,WATATATOW,Stéphan Joly,1997,1997-06-26,1997-06-30,0,0,Série télévisée,Canadienne,13,6
157,SIMONE EN 1997,,1997,1997-07-02,1997-08-02,0,0,Long métrage,Canadienne,11,6
158,THE SECOND ARRIVAL,Kevin Tinney,1997,1997-06-25,1997-08-10,0,0,Long métrage,Etrangère,11,7
159,TIME HUNTERS,,1997,1997-06-30,1997-07-02,0,0,Court métrage,Canadienne,16,6
160,THE ULTIMATE WEAPON,Jon Cassar,1997,1997-06-20,1997-08-10,0,0,Long métrage,Coproduction,11,8
161,GALA JUSTE POUR RIRE/JUST FOR LAUGHS,,1997,1997-07-14,1997-08-28,0,0,Télévision générale,Canadienne,14,6
162,BARNEY'S GREAT ADVENTURE,,1997,1997-07-14,1997-09-30,0,0,Long métrage,Etrangère,11,7
163,DE CHIRIAEFF À CHOUINARD,Jean-Claude Burger,1997,1997-07-04,1997-10-31,0,0,Long métrage,Canadienne,11,6
164,"SORRY, WRONG ADDRESS",Peter Bahlawanian,1997,1997-06-17,1997-06-19,0,0,Court métrage,Canadienne,16,6
165,VARIÉS,"Alain Dancause, André Amyot",1997,1997-07-03,1997-12-31,0,0,Photographie,Canadienne,18,6
166,MÉCHANT MALADE,"Alain Jacques, Éric Savage",1997,1997-07-08,1997-10-31,0,0,Série télévisée,Canadienne,13,6
167,"""DES CRIMES ET DES HOMMES II""",Hugues Tremblay,1997,1997-08-04,1997-08-30,0,0,Série télévisée,Canadienne,13,6
168,TWIST OF FATE,Max Fischer,1997,1997-07-12,1997-08-10,0,0,Long métrage,Canadienne,11,6
169,"PROMO ""FESTIVAL NUITS D'AFRIQUE""",,1997,1997-07-08,1997-07-18,0,0,Message publicitaire,Canadienne,15,6
170,SOUS LE SIGNE DU LION,Yvon Trudel et Maude Martin,1997,1997-07-14,1997-07-30,0,0,Série télévisée,Canadienne,13,6
172,POPULAR MECHANICS FOR KIDS,"Jean-Louis Côté, Sidney Golberg, Serge Marcil",1997,1997-07-09,1997-12-01,0,0,Série télévisée,Canadienne,13,6
173,GOING TO KANSAS CITY,Pekka Mandart,1997,1997-07-14,1997-08-15,0,0,Long métrage,Coproduction,11,8
174,DIVA,"(J-C Lord) , Réjean Bourque et Lyne Charlebois",1997,1997-07-21,1998-03-01,0,0,Série télévisée,Canadienne,13,6
175,ACCÈS INTERDIT,"Jean Picard ,Raynald Daoust, Jean-François Lalonde",1997,1997-07-08,1997-12-31,0,0,Série télévisée,Canadienne,13,6
176,PHOTOGRAPHIE,,1997,1997-06-10,1997-06-20,0,0,Photographie,Canadienne,18,6
177,PHOTOGRAPHIE,Jean-François Gratton,1997,1997-05-29,1997-12-30,0,0,Photographie,Canadienne,18,6
178,PIGNON SUR RUE,Denys Lortie,1997,1997-08-09,1997-12-31,0,0,Série télévisée,Canadienne,13,6
179,HISTOIRE DE VAMPIRES,,1997,1997-06-20,1997-10-31,0,0,Long métrage,Canadienne,11,6
180,SESSION DE PHOTOGRAPHIE,Monic Richard,1997,1997-07-16,1997-12-31,0,0,Photographie,Canadienne,18,6
181,CAPSULE CBC/JUSTE POUR RIRE,Dan Redican,1997,1997-07-21,1997-07-27,0,0,Télévision générale,Canadienne,14,6
182,ELYSIAN FIELDS,,1997,1997-09-12,1997-09-26,0,0,Court métrage,Canadienne,16,6
183,ABC NEWS AT 6,,1997,1997-07-14,1997-07-14,0,0,Télévision générale,Etrangère,14,7
185,MODE,,1997,1997-01-01,1997-12-31,0,0,Photographie,Canadienne,18,6
186,OUT OF CONTROL,Richard Trevor,1997,1997-07-28,1997-08-29,0,0,Long métrage,Etrangère,11,7
187,JUST FOR LAUGHS,,1997,1997-07-19,1997-08-07,0,0,Télévision générale,Canadienne,14,6
188,CRUSH,Nelson Henricks,1997,1997-07-22,1997-07-22,0,0,Court métrage,Canadienne,16,6
190,LE POINT FINAL,Chrystiane Meilleur,1997,1997-07-24,1997-12-30,0,0,Vidéo,Canadienne,17,6
191,FREE MONEY,Yves Simoneau,1997,1997-08-23,1997-10-10,0,0,Long métrage,Canadienne,11,6
192,ACCÈS INTERDIT,,1997,1997-07-30,1997-08-25,0,0,Télévision générale,Canadienne,14,6
193,DÉMO DE COMPAGNIE,Jérome Labrecque,1997,1997-08-02,1997-08-10,0,0,Message publicitaire,Canadienne,15,6
194,NE DIS RIEN (Jeux d'ombres),Simon Lacombe,1997,1997-08-20,1997-08-30,0,0,Long métrage,Canadienne,11,6
195,DOSSIER SANS TITRE,Bénédicte Ronfard,1997,1997-08-19,1997-08-29,0,0,Court métrage,Canadienne,16,6
197,THE ALEXIS DE TOCQUEVILLE TOUR,,1997,1997-08-21,1997-08-23,0,0,Série télévisée,Etrangère,13,7
198,CINÉ-3,,1997,1997-09-01,1997-12-30,0,0,Message publicitaire,Canadienne,15,6
199,PHOTOGRAPHIE-PUB.-MARKETING,,1997,1997-08-11,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
200,JEUX DE SOCIÉTÉ,Alain Hamel et Sylvie Guernon,1997,1997-08-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
201,ÉMISSION J.E.,Serge Catafard,1997,1997-09-03,1997-12-31,0,0,Télévision générale,Canadienne,14,6
202,CARLOS V,Erwin Carlos Herrera,1997,1997-08-13,1997-08-31,0,0,Série télévisée,Etrangère,13,7
203,C'T'À TON TOUR LAURA CADIEUX,Denise Filiatrault,1997,1997-09-13,1997-11-30,0,0,Long métrage,Canadienne,11,6
204,POLYGONE URBAIN,"Julie Bernard, Mathieu Bélanger, Ranang Rousseau",1997,1997-09-02,1997-09-20,0,0,Court métrage,Canadienne,16,6
205,THE BLOUSE MAN,Tony Goldwyn,1997,1997-08-31,1997-09-05,0,0,Long métrage,Etrangère,11,7
206,SNAKE EYES,Brian De Palma,1997,1997-05-01,1997-12-31,0,0,Long métrage,Etrangère,11,7
208,TÉLÉ-PHARMAPRIX,Randy Holder,1997,1997-08-28,1997-08-28,0,0,Vidéo,Canadienne,17,6
209,BUNDLE DE BOSTON,Betsy Arsenault,1997,1997-08-25,1997-09-20,0,0,Court métrage,Canadienne,16,6
210,FIRST CHOICE,Pat Campbell,1997,1997-08-27,1997-10-05,0,0,Message publicitaire,Etrangère,15,7
211,DOLLARD DES ORMEAUX,Andy Thompson,1997,1997-08-15,1997-09-20,0,0,Série télévisée,Canadienne,13,6
212,OUMAR 9-1-1,Stéphane Drolet (caméramen François Dagenais),1997,1997-08-29,1997-08-30,0,0,Long métrage,Canadienne,11,6
213,Histoires d'eau,Guylaine Paul,1997,1997-09-13,1997-09-20,0,0,Court métrage,Canadienne,16,6
214,FEUX ET LIEUX,Simon Poulin,1997,1997-09-12,1997-09-23,0,0,Télévision générale,Canadienne,14,6
215,TENDANCES,"Dominique Guérin, Simon Barrette",1997,1997-09-02,1997-12-31,0,0,Série télévisée,Canadienne,13,6
216,LE POING  J,,1997,1997-09-08,1997-12-31,0,0,Télévision générale,Canadienne,14,6
217,BOUSCOTTE,François Côté,1997,1997-09-26,1997-12-31,0,0,Série télévisée,Canadienne,13,6
218,L'ÉCUYER,,1997,1997-09-09,1997-12-31,0,0,Télévision générale,Canadienne,14,6
219,2 SECONDES / PARADOXE,Manon Briand,1997,1997-09-24,1997-10-31,0,0,Long métrage,Canadienne,11,6
220,LES ÉTATS D'ABSENCE,,1997,1997-09-23,1997-10-29,0,0,Long métrage,Canadienne,11,6
221,MOURRIR DE PLAISIRS,,1997,1997-09-17,1997-10-22,0,0,Court métrage,Canadienne,16,6
222,L'OBSESSION,,1997,1997-10-10,1997-12-31,0,0,Série télévisée,Canadienne,13,6
223,RAFALE FILMS,,1997,1997-09-10,1997-12-31,0,0,Vidéo,Canadienne,17,6
224,DUTHBOY  RACER,,1997,1997-09-20,1997-09-30,0,0,Court métrage,Canadienne,16,6
225,ECHO,,1997,1997-09-09,1997-09-30,0,0,Long métrage,Canadienne,11,6
226,100 HUNTLEY STREET,Alain Stevenson,1997,1997-09-16,1997-09-16,0,0,Série télévisée,Canadienne,13,6
227,LA QUÊTE DE SOPHIA,Richard Boutet,1997,1997-09-16,1997-09-30,0,0,Long métrage,Canadienne,11,6
228,UNE VOIX EN OR,Patrick Volson,1997,1997-09-27,1997-10-31,0,0,Série télévisée,Coproduction,13,8
229,MONTRÉAL 2002,,1997,1997-09-01,1997-12-31,0,0,Court métrage,Canadienne,16,6
230,THE JACKAL,Michael Caton-Jones,1997,1997-09-21,1997-09-30,0,0,Long métrage,Etrangère,11,7
231,UN HIVER DE TOURMENTE,Bernard Favre,1997,1997-09-29,1997-12-31,0,0,Téléfilm,Coproduction,12,8
232,LES ÉTATS D'ABSENCE,,1997,1997-09-10,1997-10-08,0,0,Long métrage,Canadienne,11,6
233,FAIS-EN TON AFFAIRE !,Réalisateur-coordonnateur : Paul Bourgeault,1997,1997-09-06,1997-12-31,0,0,Série télévisée,Canadienne,13,6
234,HOCKEY AUTOMNE 1997,Domenic Vanelli,1997,1997-09-26,1997-12-31,0,0,Télévision générale,Canadienne,14,6
235,DE BOUCHE À OREILLE,,1997,1997-09-19,1997-12-31,0,0,Série télévisée,Canadienne,13,6
236,CHRISTIANE CHARETTE,,1997,1997-09-10,1997-12-31,0,0,Série télévisée,Canadienne,13,6
237,CAPTIVE,Matt Dorff,1997,1997-10-07,1997-11-30,0,0,Long métrage,Canadienne,11,6
238,THE EDGE,,1997,1997-09-24,1997-10-31,0,0,Série télévisée,Canadienne,13,6
239,MUSKETEERS FOREVER,Georges Chamchoum,1997,1997-09-22,1997-11-30,0,0,Long métrage,Etrangère,11,7
240,ENCADREMENT JEUNESSE,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
241,Hasard ou coincidences (APRÈS TOUT..),Claude Lelouch,1997,1997-10-07,1997-10-30,0,0,Long métrage,Coproduction,11,8
242,IL ÉTAIT UNE FOIS CENDRILLON,Céline Budet,1997,1997-10-03,1997-10-11,0,0,Court métrage,Canadienne,16,6
243,QUAND JE  SERAI PARTI...,Michel Brault,1997,1997-11-01,1997-12-31,0,0,Long métrage,Canadienne,11,6
245,BABEL,Gérard Pullicino,1997,1997-11-01,1997-12-31,0,0,Long métrage,Coproduction,11,8
246,QUELQUE CHOSE D'ORGANIQUE,Bertrand Bonello,1997,1997-10-18,1997-11-12,0,0,Long métrage,Canadienne,11,6
247,CORPO/BOMBARDIER,,1997,1997-10-14,1997-10-20,0,0,Court métrage,Etrangère,16,7
248,SWAN SONG BLUES,,1997,1997-10-15,1997-10-30,0,0,Film étudiant,Canadienne,19,6
249,NÔ,Robert Lepage,1997,1997-10-19,1997-11-10,0,0,Long métrage,Canadienne,11,6
250,RÉSEAUX,Gabriel Pelletier,1997,1997-11-02,1997-12-31,0,0,Série télévisée,Canadienne,13,6
251,L' ERRANCE,,1997,1997-10-23,1997-11-03,0,0,Court métrage,Canadienne,16,6
