NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
4510,ALL BRAN,Jim Donovan,2004,2004-08-11,2004-08-12,2,0,Message publicitaire,Canadienne,15,6
4511,photos publicitaires,,2004,2004-09-14,2004-12-31,0,0,Photographie,Canadienne,18,6
4512,Land Rover,plusieurs photographes,2004,2004-09-14,2004-09-16,2,0,Photographie,Canadienne,18,6
4513,LES PARRAINS,Frédéric Forestier,2004,2004-08-12,2004-08-14,2,0,Long métrage,Etrangère,11,7
4514,PFIZER,Yves Christian Fournier,2004,2004-08-11,2004-08-12,1,0,Message publicitaire,Canadienne,15,6
4515,COTOONS,"Stefan Pleszczynski, Philippe Percebois",2004,2004-08-16,2005-01-31,26,0,Série télévisée,Coproduction,13,8
4516,RENÉ LÉVESQUE,Giles Walker,2004,2004-08-14,2004-12-15,64,1,Série télévisée,Canadienne,13,6
4517,PAR-DESSUS LE MARCHÉ,"Stéphane Moukarzel, Marc Cayer,...",2004,2004-07-19,2004-12-31,80,0,Télévision générale,Canadienne,14,6
4519,COUP DE POUCE - Manteaux,Mario Hébert,2004,2004-08-16,2004-08-16,1,1,Photographie,Canadienne,18,6
4521,MISSION CASCADES,Jean Frenette et Lisette Marcotte,2004,2004-08-21,2004-12-31,35,0,Télévision générale,Canadienne,14,6
4522,SAINTS-MARTYRS-DES-DAMNÉS,Robin Aubert,2004,2004-07-19,2004-09-06,0,0,Long métrage,Canadienne,11,6
4526,RÔTISSERIES SAINT-HUBERT,,2004,2004-08-16,2004-08-21,3,0,Message publicitaire,Canadienne,15,6
4527,PILATE,Maxime Giroux,2004,2004-08-17,2004-08-18,2,0,Vidéo,Canadienne,17,6
4528,DIVERS VIDÉOS,,2004,2004-08-23,2004-12-31,0,0,Vidéo,Canadienne,17,6
4529,JODY,Vincent Égret,2004,2004-08-23,2004-08-24,1,0,Vidéo,Canadienne,17,6
4530,ARCANUM,Sanjay F. Sharma,2004,2004-09-18,2004-10-13,16,0,Long métrage,Canadienne,11,6
4531,SMART SET,Max Abadian,2004,2004-08-23,2004-08-24,1,0,Photographie,Canadienne,18,6
